Statistical profiling result from isolate-000002085CFFA3A0-v8.log, (19061 ticks, 297 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      2    0.0%    0.0%  Function: ~insert timers.js:158:16
      2    0.0%    0.0%  Function: ~handle C:\Users\ben\Documents\GitHub\busyapi\node_modules\express\lib\router\layer.js:86:49
      2    0.0%    0.0%  Function: ~handle C:\Users\ben\Documents\GitHub\busyapi\node_modules\express\lib\application.js:157:29
      2    0.0%    0.0%  Function: ~forwarded C:\Users\ben\Documents\GitHub\busyapi\node_modules\forwarded\index.js:24:20
      2    0.0%    0.0%  Function: ~fastparse C:\Users\ben\Documents\GitHub\busyapi\node_modules\parseurl\index.js:95:20
      2    0.0%    0.0%  Function: ~expressInit C:\Users\ben\Documents\GitHub\busyapi\node_modules\express\lib\middleware\init.js:22:30
      2    0.0%    0.0%  Function: ~exports.unenroll timers.js:373:45
      2    0.0%    0.0%  Function: ~escapeHeaderValue _http_outgoing.js:689:27
      2    0.0%    0.0%  Function: ~emitNone events.js:104:18
      2    0.0%    0.0%  Function: ~doWrite _stream_writable.js:379:17
      2    0.0%    0.0%  Function: ~cleanup C:\Users\ben\Documents\GitHub\busyapi\node_modules\ee-first\index.js:58:19
      2    0.0%    0.0%  Function: ~_writeRaw _http_outgoing.js:245:19
      2    0.0%    0.0%  Function: ~_addListener events.js:233:22
      2    0.0%    0.0%  Function: ~Writable.write _stream_writable.js:264:36
      2    0.0%    0.0%  Function: ~Readable.read _stream_readable.js:365:35
      2    0.0%    0.0%  Function: ~Readable.push _stream_readable.js:191:35
      2    0.0%    0.0%  Builtin: ToBoolean
      2    0.0%    0.0%  Builtin: NumberParseInt
      2    0.0%    0.0%  Builtin: GlobalIsFinite
      2    0.0%    0.0%  Builtin: Add {1}
      1    0.0%    0.0%  Stub: RecordWriteStub {6}
      1    0.0%    0.0%  Stub: RecordWriteStub {14}
      1    0.0%    0.0%  Stub: RecordWriteStub {13}
      1    0.0%    0.0%  Stub: RecordWriteStub {12}
      1    0.0%    0.0%  Stub: RecordWriteStub {11}
      1    0.0%    0.0%  Stub: RecordWriteStub
      1    0.0%    0.0%  Stub: GetPropertyStub
      1    0.0%    0.0%  Stub: CallApiCallbackStub {2}
      1    0.0%    0.0%  RegExp: ^\\/users\\/?(?=\\/|$)
      1    0.0%    0.0%  LazyCompile: *setHeader _http_outgoing.js:500:57
      1    0.0%    0.0%  LazyCompile: *set C:\Users\ben\Documents\GitHub\busyapi\node_modules\express\lib\application.js:351:23
      1    0.0%    0.0%  LazyCompile: *remove internal/linkedlist.js:15:16
      1    0.0%    0.0%  LazyCompile: *onevent C:\Users\ben\Documents\GitHub\busyapi\node_modules\ee-first\index.js:81:26
      1    0.0%    0.0%  LazyCompile: *ip C:\Users\ben\Documents\GitHub\busyapi\node_modules\express\lib\request.js:339:36
      1    0.0%    0.0%  LazyCompile: *handle C:\Users\ben\Documents\GitHub\busyapi\node_modules\express\lib\router\layer.js:86:49
      1    0.0%    0.0%  LazyCompile: *get _stream_duplex.js:81:6
      1    0.0%    0.0%  LazyCompile: *first C:\Users\ben\Documents\GitHub\busyapi\node_modules\ee-first\index.js:24:15
      1    0.0%    0.0%  LazyCompile: *doWrite _stream_writable.js:379:17
      1    0.0%    0.0%  LazyCompile: *debugs.(anonymous function) util.js:276:29
      1    0.0%    0.0%  LazyCompile: *adjustOffset buffer.js:950:22
      1    0.0%    0.0%  LazyCompile: *Writable.write _stream_writable.js:264:36
      1    0.0%    0.0%  LazyCompile: *Uint8Array native typedarray.js:158:31
      1    0.0%    0.0%  Handler: An IC handler from the snapshot {1}
      1    0.0%    0.0%  Function: ~write_ _http_outgoing.js:623:16
      1    0.0%    0.0%  Function: ~writeHead _http_server.js:185:19
      1    0.0%    0.0%  Function: ~updateOutgoingData _http_server.js:368:28
      1    0.0%    0.0%  Function: ~typeis C:\Users\ben\Documents\GitHub\busyapi\node_modules\type-is\index.js:43:17
      1    0.0%    0.0%  Function: ~setCharset C:\Users\ben\Documents\GitHub\busyapi\node_modules\express\lib\utils.js:262:41
      1    0.0%    0.0%  Function: ~set native collection.js:149:4
      1    0.0%    0.0%  Function: ~send C:\Users\ben\Documents\GitHub\busyapi\node_modules\express\lib\response.js:100:25
      1    0.0%    0.0%  Function: ~reuse timers.js:356:15
      1    0.0%    0.0%  Function: ~restore C:\Users\ben\Documents\GitHub\busyapi\node_modules\express\lib\router\index.js:603:17
      1    0.0%    0.0%  Function: ~resetSocketTimeout _http_server.js:607:28
      1    0.0%    0.0%  Function: ~resOnFinish _http_server.js:509:21
      1    0.0%    0.0%  Function: ~res.get C:\Users\ben\Documents\GitHub\busyapi\node_modules\express\lib\response.js:736:19
      1    0.0%    0.0%  Function: ~remoteAddress net.js:662:52
      1    0.0%    0.0%  Function: ~read _http_incoming.js:91:47
      1    0.0%    0.0%  Function: ~query C:\Users\ben\Documents\GitHub\busyapi\node_modules\express\lib\middleware\query.js:38:24
      1    0.0%    0.0%  Function: ~push internal/process/next_tick.js:20:7
      1    0.0%    0.0%  Function: ~process_params C:\Users\ben\Documents\GitHub\busyapi\node_modules\express\lib\router\index.js:322:47
      1    0.0%    0.0%  Function: ~parserOnMessageComplete _http_common.js:146:33
      1    0.0%    0.0%  Function: ~parse C:\Users\ben\Documents\GitHub\busyapi\node_modules\forwarded\index.js:45:16
      1    0.0%    0.0%  Function: ~onParserExecuteCommon _http_server.js:462:31
      1    0.0%    0.0%  Function: ~onFinish _http_outgoing.js:722:18
      1    0.0%    0.0%  Function: ~onFinish C:\Users\ben\Documents\GitHub\busyapi\node_modules\on-finished\index.js:95:20
      1    0.0%    0.0%  Function: ~nop _stream_writable.js:39:13
      1    0.0%    0.0%  Function: ~nextTick internal/process/next_tick.js:245:20
      1    0.0%    0.0%  Function: ~next C:\Users\ben\Documents\GitHub\busyapi\node_modules\express\lib\router\index.js:178:16
      1    0.0%    0.0%  Function: ~maybeReadMore _stream_readable.js:524:23
